PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
TN0000027,,,3714,Motor Vehicle Parts And Accessories
TN0000060,332993,Ammunition [Except Small Arms] Manufacturing,3483,"Ammunition, Except For Small Arms"
TN0000078,325188,All Other Basic Inorganic Chemical Manufacturing [2007],2869,Industrial Organic Chemicals
TN0000108,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
TN0000132,311225,Fats and Oils Refining and Blending,2079,Edible Fats And Oils
TN0000136,,,0241,Dairy Farms
TN0000141,,,2873,Nitrogenous Fertilizers
TN0000205,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2899,Chemical Preparations
TN0000221,326299,All Other Rubber Product Manufacturing,3069,Fabricated Rubber Products
TN0000264,,,3353,"Aluminum Sheet, Plate, And Foil"
TN0000272,,,2449,Wood Containers
TN0000281,311225,Fats and Oils Refining and Blending,2079,Edible Fats And Oils
TN0000299,,,2611,Pulp Mills
TN0000442,325211,Plastics Material and Resin Manufacturing,2821,Plastics Materials And Resins
TN0000451,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,3499,Fabricated Metal Products
TN0000604,,,4941,Water Supply
TN0000655,,,2026,Fluid Milk
TN0000744,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0000931,311613,Rendering and Meat Byproduct Processing,2077,Animal And Marine Fats And Oils
TN0000965,,,2813,Industrial Gases
TN0001066,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
TN0001091,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,Industrial Inorganic Chemicals
TN0001139,326211,Tire Manufacturing [Except Retreading],3011,Tires And Inner Tubes
TN0001171,488320,Marine Cargo Handling,4491,Marine Cargo Handling
TN0001198,,,2621,Paper Mills
TN0001368,,,3443,Fabricated Plate Work (Boiler Shops)
TN0001376,,,3443,Fabricated Plate Work (Boiler Shops)
TN0001449,,,3429,"Hardware, Not Elsewhere Classified"
TN0001465,,,2816,Inorganic Pigments
TN0001538,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,Industrial Inorganic Chemicals
TN0001571,,,3081,Unsupported Plastics Film & Sheet
TN0001597,,,3728,Aircraft Parts And Equipment
TN0001643,322130,Paperboard Mills,2631,Paperboard Mills
TN0001686,,,3313,Electrometallurgical Products
TN0001694,,,2732,Book Printing
TN0001732,212231,Lead Ore and Zinc Ore Mining,1031,Lead And Zinc Ores
TN0001741,,,1031,Lead And Zinc Ores
TN0001759,212231,Lead Ore and Zinc Ore Mining,1031,Lead And Zinc Ores
TN0001775,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0001821,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0001830,327310,Cement Manufacturing,3241,"Cement, Hydraulic"
TN0001872,335991,Carbon and Graphite Product Manufacturing,3624,Carbon And Graphite Products
TN0001881,212322,Industrial Sand Mining,1446,Industrial Sand
TN0001899,,,3341,Secondary Nonferrous Metals
TN0001953,312140,Distilleries,2085,Distilled And Blended Liquors
TN0001996,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,Industrial Inorganic Chemicals
TN0002003,,,3011,Tires And Inner Tubes
TN0002038,,,2819,Industrial Inorganic Chemicals
TN0002089,,,4011,"Railroads, Line-Haul Operating"
TN0002135,,,2015,Poultry Slaughtering And Processing
TN0002143,316110,Leather and Hide Tanning and Finishing,3111,Leather Tanning And Finishing
TN0002194,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,Industrial Inorganic Chemicals
TN0002216,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
TN0002224,,,3714,Motor Vehicle Parts And Accessories
TN0002232,322130,Paperboard Mills,2631,Paperboard Mills
TN0002259,313230,Nonwoven Fabric Mills,2297,Nonwoven Fabrics
TN0002275,335991,Carbon and Graphite Product Manufacturing,3624,Carbon And Graphite Products
TN0002330,313320,Fabric Coating Mills,2295,"Coated Fabrics, Not Rubberized"
TN0002356,,,2621,Paper Mills
TN0002411,,,2819,Industrial Inorganic Chemicals
TN0002429,,,3321,Gray And Ductile Iron Foundries
TN0002445,,,3585,Refrigeration And Heating Equipment
TN0002453,,,2281,Yarn Spinning Mills
TN0002461,325181,Alkalies and Chlorine Manufacturing [2007],2812,Alkalies And Chlorine
TN0002470,312140,Distilleries,2085,Distilled And Blended Liquors
TN0002488,,,3639,Household Appliances
TN0002500,,,2517,Wood Tv And Radio Cabinets
TN0002526,,,3341,Secondary Nonferrous Metals
TN0002593,331316,Aluminum Extruded Product Manufacturing [2007],3354,Aluminum Extruded Products
TN0002631,327211,Flat Glass Manufacturing,3211,Flat Glass
TN0002640,325188,All Other Basic Inorganic Chemical Manufacturing [2007],2869,Industrial Organic Chemicals
TN0002666,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0002682,325211,Plastics Material and Resin Manufacturing,2821,Plastics Materials And Resins
TN0002747,,,1422,Crushed And Broken Limestone
TN0002763,322130,Paperboard Mills,2631,Paperboard Mills
TN0002780,325411,Medicinal and Botanical Manufacturing,2833,Medicinals And Botanicals
TN0002798,325188,All Other Basic Inorganic Chemical Manufacturing [2007],2869,Industrial Organic Chemicals
TN0002844,325211,Plastics Material and Resin Manufacturing,2821,Plastics Materials And Resins
TN0002861,325212,Synthetic Rubber Manufacturing,2822,Synthetic Rubber
TN0002941,928110,National Security,9711,National Security
TN0002950,999999,AFS Migration,9999,Nonclassifiable Establishments
TN0002968,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,3499,Fabricated Metal Products
TN0003018,,,1422,Crushed And Broken Limestone
TN0003026,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0003042,,,1422,Crushed And Broken Limestone
TN0003069,,,1422,Crushed And Broken Limestone
TN0003077,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0003085,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0003107,,,1422,Crushed And Broken Limestone
TN0003115,,,1422,Crushed And Broken Limestone
TN0003221,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",3353,"Aluminum Sheet, Plate, And Foil"
TN0003280,,,2033,Canned Fruits And Vegetables
TN0003352,327310,Cement Manufacturing,3241,"Cement, Hydraulic"
TN0003433,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,Industrial Inorganic Chemicals
TN0003441,,,3011,Tires And Inner Tubes
TN0003549,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0003573,327211,Flat Glass Manufacturing,3211,Flat Glass
TN0003654,,,1422,Crushed And Broken Limestone
TN0003671,325920,Explosives Manufacturing,2892,Explosives
TN0003735,322130,Paperboard Mills,2631,Paperboard Mills
TN0003751,928110,National Security,9711,National Security
TN0003832,,,2732,Book Printing
TN0003905,,,3211,Flat Glass
TN0004073,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004111,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004171,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0004201,,,1422,Crushed And Broken Limestone
TN0004219,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0004227,,,1031,Lead And Zinc Ores
TN0004278,,,3621,Motors And Generators
TN0004294,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004332,,,0921,Fish Hatcheries And Preserves
TN0004359,,,2493,Reconstituted Wood Products
TN0004375,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004413,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004472,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0004499,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004511,,,4941,Water Supply
TN0004553,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004642,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004677,,,0921,Fish Hatcheries And Preserves
TN0004740,,,4941,Water Supply
TN0004758,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004791,,,4941,Water Supply
TN0004855,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004863,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004979,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0004987,,,1422,Crushed And Broken Limestone
TN0005037,,,0921,Fish Hatcheries And Preserves
TN0005045,,,0921,Fish Hatcheries And Preserves
TN0005053,,,0921,Fish Hatcheries And Preserves
TN0005177,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005185,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005231,,,4941,Water Supply
TN0005355,,,4911,Electric Services
TN0005371,311613,Rendering and Meat Byproduct Processing,2077,Animal And Marine Fats And Oils
TN0005398,,,4941,Water Supply
TN0005410,,,4911,Electric Services
TN0005428,221112,Fossil Fuel Electric Power Generation,4911,Electric Services
TN0005436,,,4911,Electric Services
TN0005444,,,4911,Electric Services
TN0005452,,,4911,Electric Services
TN0005461,,,4911,Electric Services
TN0005479,,,4911,Electric Services
TN0005487,,,1422,Crushed And Broken Limestone
TN0005495,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0005533,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005576,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005584,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005622,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0005665,,,4941,Water Supply
TN0005789,,,4911,Electric Services
TN0020052,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020079,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020087,,,4952,Sewerage Systems
TN0020095,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020117,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020141,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020168,221113,Nuclear Electric Power Generation,4911,Electric Services
TN0020249,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020273,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020443,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020460,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020478,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020494,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020508,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020532,,,4952,Sewerage Systems
TN0020541,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020575,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020591,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020613,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020621,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020630,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020648,,,4952,Sewerage Systems
TN0020656,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020672,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020702,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020711,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020729,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020737,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020745,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020753,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020800,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020818,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020877,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020885,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0020982,,,4952,Sewerage Systems
TN0021067,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021105,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021121,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021164,488490,Other Support Activities for Road Transportation,4231,Trucking Terminal Facilities
TN0021199,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021211,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021229,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021237,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021245,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021253,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021261,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021296,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021377,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021393,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021423,,,4952,Sewerage Systems
TN0021458,,,4952,Sewerage Systems
TN0021474,,,4952,Sewerage Systems
TN0021491,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021504,,,4952,Sewerage Systems
TN0021512,,,4952,Sewerage Systems
TN0021539,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021547,,,4952,Sewerage Systems
TN0021563,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021580,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021644,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021652,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021687,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021695,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021717,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021741,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021750,,,4952,Sewerage Systems
TN0021806,,,4952,Sewerage Systems
TN0021814,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021822,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021857,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021865,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021873,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021938,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021946,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0021962,,,3471,Plating And Polishing
TN0021971,,,3011,Tires And Inner Tubes
TN0022039,326211,Tire Manufacturing [Except Retreading],3011,Tires And Inner Tubes
TN0022349,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022411,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
TN0022420,,,5171,Petroleum Bulk Stations & Terminals
TN0022438,,,5171,Petroleum Bulk Stations & Terminals
TN0022462,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
TN0022519,447110,Gasoline Stations with Convenience Stores,5541,Gasoline Service Stations
TN0022543,,,5171,Petroleum Bulk Stations & Terminals
TN0022551,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022560,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022586,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022594,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022616,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022632,,,5171,Petroleum Bulk Stations & Terminals
TN0022667,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022748,,,4952,Sewerage Systems
TN0022756,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0022764,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0022802,,,4941,Water Supply
TN0022861,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022870,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022888,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022985,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0022993,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023001,,,4952,Sewerage Systems
TN0023035,,,4952,Sewerage Systems
TN0023051,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023078,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023141,,,4952,Sewerage Systems
TN0023230,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023256,,,4952,Sewerage Systems
TN0023272,,,4952,Sewerage Systems
TN0023311,,,4952,Sewerage Systems
TN0023337,,,4952,Sewerage Systems
TN0023353,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023396,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023469,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023477,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023507,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023515,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023531,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023574,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023582,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023591,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023680,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023698,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023701,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023736,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023787,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023795,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023833,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023906,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0023957,,,1422,Crushed And Broken Limestone
TN0023973,,,3562,Ball And Roller Bearings
TN0023981,,,3562,Ball And Roller Bearings
TN0024058,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024121,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024155,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024171,,,4952,Sewerage Systems
TN0024180,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024198,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024201,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024210,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024236,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024244,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024287,,,4952,Sewerage Systems
TN0024295,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024325,,,4952,Sewerage Systems
TN0024341,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024406,,,4952,Sewerage Systems
TN0024449,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024465,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024473,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024503,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024643,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024651,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024716,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024791,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024813,,,4952,Sewerage Systems
TN0024830,,,4952,Sewerage Systems
TN0024856,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024937,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024945,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024953,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024961,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024970,,,4952,Sewerage Systems
TN0024988,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0024996,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025011,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025020,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025038,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025054,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025089,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025101,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025119,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025127,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025135,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025151,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025178,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025372,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025437,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025470,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025488,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0025712,,,3052,Rubber & Plastics Hose & Belting
TN0026026,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026085,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026158,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026166,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026174,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026247,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026263,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026271,,,4952,Sewerage Systems
TN0026361,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026409,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026441,,,2819,Industrial Inorganic Chemicals
TN0026450,,,4911,Electric Services
TN0026476,,,1422,Crushed And Broken Limestone
TN0026484,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0026506,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026581,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026590,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026620,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0026638,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0027278,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0027391,,,4911,Electric Services
TN0027405,,,4911,Electric Services
TN0027413,,,4911,Electric Services
TN0027421,,,4911,Electric Services
TN0027430,,,4911,Electric Services
TN0027448,,,4911,Electric Services
TN0027456,,,4911,Electric Services
TN0027464,,,4911,Electric Services
TN0027472,,,4911,Electric Services
TN0027481,,,4911,Electric Services
TN0027499,,,4911,Electric Services
TN0027502,,,4911,Electric Services
TN0027511,,,4911,Electric Services
TN0027529,,,4911,Electric Services
TN0027537,,,4911,Electric Services
TN0027545,,,4911,Electric Services
TN0027553,,,4911,Electric Services
TN0027588,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0027600,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0027618,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0027626,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0027677,,,1031,Lead And Zinc Ores
TN0027774,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0027782,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0027804,,,3312,Blast Furnaces And Steel Mills
TN0027910,212312,Crushed and Broken Limestone Mining and Quarrying,1422,Crushed And Broken Limestone
TN0028177,,,4952,Sewerage Systems
TN0028223,,,4952,Sewerage Systems
TN0028550,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0028568,,,4952,Sewerage Systems
TN0028622,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0028631,,,4612,Crude Petroleum Pipelines
TN0028754,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0028789,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0028797,447110,Gasoline Stations with Convenience Stores,5541,Gasoline Service Stations
TN0028827,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0028886,,,4952,Sewerage Systems
TN0028916,,,4952,Sewerage Systems
TN0028991,,,4952,Sewerage Systems
TN0029068,,,2046,Wet Corn Milling
TN0029106,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0029122,,,4952,Sewerage Systems
TN0029157,,,1031,Lead And Zinc Ores
TN0029254,,,4952,Sewerage Systems
TN0029262,,,1422,Crushed And Broken Limestone
TN0029319,,,4952,Sewerage Systems
TN0029360,,,1031,Lead And Zinc Ores
TN0029467,,,1422,Crushed And Broken Limestone
TN0029483,,,4952,Sewerage Systems
TN0029491,,,4952,Sewerage Systems
TN0029718,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0029769,,,5171,Petroleum Bulk Stations & Terminals
TN0030155,,,4911,Electric Services
TN0030163,,,4911,Electric Services
TN0030431,,,1455,Kaolin And Ball Clay
TN0030465,,,1455,Kaolin And Ball Clay
TN0030490,,,1455,Kaolin And Ball Clay
TN0030520,,,1455,Kaolin And Ball Clay
TN0030627,,,4952,Sewerage Systems
TN0030899,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0031089,,,1422,Crushed And Broken Limestone
TN0031127,,,3624,Carbon And Graphite Products
TN0031631,,,4911,Electric Services
TN0031640,,,4952,Sewerage Systems
TN0040564,,,1422,Crushed And Broken Limestone
TN0040568,,,4952,Sewerage Systems
TN0040606,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2899,Chemical Preparations
TN0040614,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0040673,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0041106,324121,Asphalt Paving Mixture and Block Manufacturing,2951,Asphalt Paving Mixtures And Blocks
TN0041157,221320,Sewage Treatment Facilities,4952,Sewerage Systems
TN0041530,,,3241,"Cement, Hydraulic"
TN0041581,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
TN0041866,493110,General Warehousing and Storage,4226,Special Warehousing And Storage
TN0041874,,,4952,Sewerage Systems
TN0041921,333613,Mechanical Power Transmission Equipment Manufacturing,3568,Power Transmission Equipment
TN0041939,325991,Custom Compounding Of Purchased Resins,3087,Custom Compound Purchased Resins
TN0042064,327212,Other Pressed and Blown Glass and Glassware Manufacturing,3229,Pressed And Blown Glass
TN0042072,221310,Water Supply and Irrigation Systems,4941,Water Supply
TN0042111,,,4952,Sewerage Systems
TN0042722,,,1221,Bituminous Coal And Lignite - Surface
TN0043222,,,1221,Bituminous Coal And Lignite - Surface
TN0043800,212111,Bituminous Coal and Lignite Surface Mining,1221,Bituminous Coal And Lignite - Surface
TN0045233,,,1459,Clay And Related Minerals
TN0045454,,,1222,Bituminous Coal - Underground
TN0045489,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
TN0045497,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
TN0045501,,,1455,Kaolin And Ball Clay
TN0045527,,,1455,Kaolin And Ball Clay
TN0045535,,,1455,Kaolin And Ball Clay
TN0045811,,,1455,Kaolin And Ball Clay
TN0045837,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
TN0045845,,,1455,Kaolin And Ball Clay
TN0045951,212111,Bituminous Coal and Lignite Surface Mining,1221,Bituminous Coal And Lignite - Surface
TN0046264,,,1455,Kaolin And Ball Clay
TN0046272,,,1455,Kaolin And Ball Clay
TN0046281,,,1455,Kaolin And Ball Clay
TN0046311,,,1455,Kaolin And Ball Clay
TN0046329,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
TN0046337,212324,Kaolin and Ball Clay Mining,1455,Kaolin And Ball Clay
